method,scenario_id,scenario,n,eta,alpha_share,n_reps,p_c,ATE_est_mean,ATE_est_sd,ATE_bias_mean,ATE_bias_sd,ATE_rmse,NDE_d1_est_mean,NDE_d1_est_sd,NDE_d1_bias_mean,NDE_d1_bias_sd,NDE_d1_rmse,NDE_d0_est_mean,NDE_d0_est_sd,NDE_d0_bias_mean,NDE_d0_bias_sd,NDE_d0_rmse,NIE_d1_est_mean,NIE_d1_est_sd,NIE_d1_bias_mean,NIE_d1_bias_sd,NIE_d1_rmse,NIE_d0_est_mean,NIE_d0_est_sd,NIE_d0_bias_mean,NIE_d0_bias_sd,NIE_d0_rmse
cmavae,9,n500_eta1_share10_pc20,500,1,0.100000,100,0.200000,0.223231,0.267432,0.223231,0.267432,0.347328,,,,,,0.488884,0.300392,0.488884,0.300392,0.573010,-0.265653,0.209073,-0.265653,0.209073,0.337410,-0.399493,0.362501,-0.399493,0.362501,0.538226
cmavae,10,n1000_eta1_share10_pc20,1000,1,0.100000,100,0.200000,0.189835,0.227435,0.189835,0.227435,0.295376,,,,,,0.357157,0.250543,0.357157,0.250543,0.435551,-0.167322,0.176559,-0.167322,0.176559,0.242607,-0.279605,0.379290,-0.279605,0.379290,0.469682
cmavae,11,n500_eta10_share10_pc20,500,10,0.100000,100,0.200000,0.642216,0.355001,0.642216,0.355001,0.732943,,,,,,0.913571,0.404894,0.913571,0.404894,0.998455,-0.271356,0.107185,-0.271356,0.107185,0.291561,0.816504,0.450219,0.816504,0.450219,0.931315
cmavae,12,n1000_eta10_share10_pc20,1000,10,0.100000,100,0.200000,0.451131,0.257705,0.451131,0.257705,0.518909,,,,,,0.807134,0.305527,0.807134,0.305527,0.862484,-0.356003,0.183144,-0.356003,0.183144,0.399931,0.552268,0.538293,0.552268,0.538293,0.769326
cmavae,13,n500_eta1_share50_pc20,500,1,0.500000,100,0.200000,0.496037,0.260351,0.496037,0.260351,0.559605,,,,,,0.275964,0.460278,0.275964,0.460278,0.534690,0.220072,0.386479,0.220072,0.386479,0.443062,0.452908,0.377969,0.452908,0.377969,0.588692
cmavae,14,n1000_eta1_share50_pc20,1000,1,0.500000,100,0.200000,0.585359,0.158856,0.585359,0.158856,0.606323,,,,,,0.531718,0.350749,0.531718,0.350749,0.636018,0.053640,0.331067,0.053640,0.331067,0.333746,0.459985,0.274975,0.459985,0.274975,0.535202
cmavae,15,n500_eta10_share50_pc20,500,10,0.500000,100,0.200000,0.293489,0.287183,0.293489,0.287183,0.409616,,,,,,0.334042,0.318705,0.334042,0.318705,0.460588,-0.040553,0.359276,-0.040553,0.359276,0.359767,0.634218,1.258467,0.634218,1.258467,1.403615
cmavae,16,n1000_eta10_share50_pc20,1000,10,0.500000,100,0.200000,0.475077,0.423205,0.475077,0.423205,0.634830,,,,,,1.804657,0.984620,1.804657,0.984620,2.053429,-1.329580,0.816753,-1.329580,0.816753,1.558268,1.911330,1.546886,1.911330,1.546886,2.453999
cmavae,17,n500_eta1_share10_pc30,500,1,0.100000,100,0.300000,0.158175,0.240866,0.158175,0.240866,0.287150,,,,,,0.645351,0.342559,0.645351,0.342559,0.729829,-0.487176,0.257398,-0.487176,0.257398,0.550392,-0.500207,0.411541,-0.500207,0.411541,0.646436
cmavae,18,n1000_eta1_share10_pc30,1000,1,0.100000,100,0.300000,0.199083,0.264663,0.199083,0.264663,0.330122,,,,,,0.377014,0.348721,0.377014,0.348721,0.512376,-0.177930,0.288264,-0.177930,0.288264,0.337527,-0.435305,0.393248,-0.435305,0.393248,0.585310
cmavae,19,n500_eta10_share10_pc30,500,10,0.100000,100,0.300000,0.389256,0.317340,0.389256,0.317340,0.501216,,,,,,0.654719,0.347301,0.654719,0.347301,0.740317,-0.265463,0.080081,-0.265463,0.080081,0.277163,0.851189,0.356978,0.851189,0.356978,0.922324
cmavae,20,n1000_eta10_share10_pc30,1000,10,0.100000,100,0.300000,0.143412,0.406027,0.143412,0.406027,0.428691,,,,,,0.678470,0.445790,0.678470,0.445790,0.810594,-0.535058,0.153130,-0.535058,0.153130,0.556328,0.737617,0.494382,0.737617,0.494382,0.886594
cmavae,21,n500_eta1_share50_pc30,500,1,0.500000,100,0.300000,0.489620,0.215207,0.489620,0.215207,0.534396,,,,,,0.559097,0.421281,0.559097,0.421281,0.698780,-0.069478,0.369163,-0.069478,0.369163,0.373825,0.437414,0.457063,0.437414,0.457063,0.630990
cmavae,22,n1000_eta1_share50_pc30,1000,1,0.500000,100,0.300000,0.461466,0.196861,0.461466,0.196861,0.501316,,,,,,0.349059,0.450436,0.349059,0.450436,0.568072,0.112407,0.394092,0.112407,0.394092,0.407910,0.387011,0.301355,0.387011,0.301355,0.489576
cmavae,23,n500_eta10_share50_pc30,500,10,0.500000,100,0.300000,0.296245,0.318222,0.296245,0.318222,0.433606,,,,,,0.351624,0.410809,0.351624,0.410809,0.539181,-0.055379,0.354061,-0.055379,0.354061,0.356613,0.377499,1.982447,0.377499,1.982447,2.008308
cmavae,24,n1000_eta10_share50_pc30,1000,10,0.500000,100,0.300000,0.549438,0.409896,0.549438,0.409896,0.684264,,,,,,2.403494,1.644077,2.403494,1.644077,2.907360,-1.854055,1.414932,-1.854055,1.414932,2.327989,2.254633,2.032267,2.254633,2.032267,3.028560
cmavae,25,n500_eta1_share10_pc40,500,1,0.100000,100,0.400000,0.182709,0.143308,0.182709,0.143308,0.231764,,,,,,0.731744,0.274375,0.731744,0.274375,0.781010,-0.549034,0.272177,-0.549034,0.272177,0.612191,-0.422711,0.358116,-0.422711,0.358116,0.552855
cmavae,26,n1000_eta1_share10_pc40,1000,1,0.100000,100,0.400000,0.202141,0.142472,0.202141,0.142472,0.246893,,,,,,0.403817,0.262367,0.403817,0.262367,0.480850,-0.201677,0.247728,-0.201677,0.247728,0.318479,-0.386089,0.404209,-0.386089,0.404209,0.557509
cmavae,27,n500_eta10_share10_pc40,500,10,0.100000,100,0.400000,0.261677,0.264756,0.261677,0.264756,0.371308,,,,,,0.537166,0.285556,0.537166,0.285556,0.607679,-0.275489,0.081102,-0.275489,0.081102,0.287064,0.707180,0.283527,0.707180,0.283527,0.761372
cmavae,28,n1000_eta10_share10_pc40,1000,10,0.100000,100,0.400000,-0.060119,0.400384,-0.060119,0.400384,0.402888,,,,,,0.446657,0.446772,0.446657,0.446772,0.630168,-0.506777,0.109504,-0.506777,0.109504,0.518357,0.590827,0.463134,0.590827,0.463134,0.749283
cmavae,29,n500_eta1_share50_pc40,500,1,0.500000,100,0.400000,0.479259,0.170028,0.479259,0.170028,0.508242,,,,,,0.533916,0.496481,0.533916,0.496481,0.727389,-0.054657,0.417436,-0.054657,0.417436,0.418925,0.588476,0.397622,0.588476,0.397622,0.709103
cmavae,30,n1000_eta1_share50_pc40,1000,1,0.500000,100,0.400000,0.422864,0.169745,0.422864,0.169745,0.455345,,,,,,0.232423,0.430039,0.232423,0.430039,0.486934,0.190441,0.398595,0.190441,0.398595,0.439952,0.540402,0.315695,0.540402,0.315695,0.625061
cmavae,31,n500_eta10_share50_pc40,500,10,0.500000,100,0.400000,0.295540,0.191975,0.295540,0.191975,0.351895,,,,,,0.306917,0.360243,0.306917,0.360243,0.471885,-0.011376,0.337647,-0.011376,0.337647,0.336148,0.582020,1.268478,0.582020,1.268478,1.389853
cmavae,32,n1000_eta10_share50_pc40,1000,10,0.500000,100,0.400000,0.625117,0.448590,0.625117,0.448590,0.768109,,,,,,2.272072,1.872033,2.272072,1.872033,2.937988,-1.646956,1.554202,-1.646956,1.554202,2.259171,2.176818,1.665344,2.176818,1.665344,2.735722
cmavae,33,n500_eta1_share10_pc50,500,1,0.100000,100,0.500000,0.204703,0.143485,0.204703,0.143485,0.249571,,,,,,0.765234,0.256725,0.765234,0.256725,0.806742,-0.560531,0.251543,-0.560531,0.251543,0.613870,-0.409031,0.347537,-0.409031,0.347537,0.535613
cmavae,34,n1000_eta1_share10_pc50,1000,1,0.100000,100,0.500000,0.217370,0.117925,0.217370,0.117925,0.247017,,,,,,0.396449,0.231435,0.396449,0.231435,0.458474,-0.179079,0.208678,-0.179079,0.208678,0.274190,-0.318040,0.328744,-0.318040,0.328744,0.456225
cmavae,35,n500_eta10_share10_pc50,500,10,0.100000,100,0.500000,0.203598,0.360386,0.203598,0.360386,0.412349,,,,,,0.496201,0.401782,0.496201,0.401782,0.637204,-0.292603,0.093118,-0.292603,0.093118,0.306921,0.759961,0.370920,0.759961,0.370920,0.844835
cmavae,36,n1000_eta10_share10_pc50,1000,10,0.100000,100,0.500000,-0.022027,0.346197,-0.022027,0.346197,0.345165,,,,,,0.520046,0.410974,0.520046,0.410974,0.661558,-0.542074,0.150115,-0.542074,0.150115,0.562275,0.604763,0.440158,0.604763,0.440158,0.746686
cmavae,37,n500_eta1_share50_pc50,500,1,0.500000,100,0.500000,0.430281,0.168380,0.430281,0.168380,0.461747,,,,,,0.534298,0.424059,0.534298,0.424059,0.680810,-0.104017,0.389925,-0.104017,0.389925,0.401672,0.534136,0.428225,0.534136,0.428225,0.683260
cmavae,38,n1000_eta1_share50_pc50,1000,1,0.500000,100,0.500000,0.395321,0.192088,0.395321,0.192088,0.439099,,,,,,0.127385,0.426816,0.127385,0.426816,0.443371,0.267936,0.377267,0.267936,0.377267,0.461190,0.538962,0.373631,0.538962,0.373631,0.654740
cmavae,39,n500_eta10_share50_pc50,500,10,0.500000,100,0.500000,0.293508,0.245528,0.293508,0.245528,0.381875,,,,,,0.321619,0.456259,0.321619,0.456259,0.556354,-0.028110,0.397030,-0.028110,0.397030,0.396038,0.687240,1.631222,0.687240,1.631222,1.762548
cmavae,40,n1000_eta10_share50_pc50,1000,10,0.500000,100,0.500000,0.591536,0.426913,0.591536,0.426913,0.728250,,,,,,2.363778,1.738136,2.363778,1.738136,2.928883,-1.772242,1.593162,-1.772242,1.593162,2.377735,2.274252,1.953915,2.274252,1.953915,2.991960
