method,scenario_id,scenario,rep,n,eta,alpha_share,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias,converged,first_10_loss,last_10_loss,last_10_loss_sd,relative_drop,relative_sd
lsem_proxyX,1,n500_eta1_share10_pc10,39,500,1,0.100000,0.094521,-0.079395,-0.079395,0.173915,0.173915,0.000000,0.000000,0.000000,0.000000,0.000000,0.094521,-0.079395,-0.079395,0.173915,0.173915,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,40,500,1,0.100000,0.296934,0.061576,0.061576,0.235358,0.235358,0.000000,0.000000,0.000000,0.000000,0.000000,0.296934,0.061576,0.061576,0.235358,0.235358,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,41,500,1,0.100000,0.064748,0.000773,0.000773,0.063975,0.063975,0.000000,0.000000,0.000000,0.000000,0.000000,0.064748,0.000773,0.000773,0.063975,0.063975,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,42,500,1,0.100000,0.077723,-0.165813,-0.165813,0.243536,0.243536,0.000000,0.000000,0.000000,0.000000,0.000000,0.077723,-0.165813,-0.165813,0.243536,0.243536,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,43,500,1,0.100000,0.044215,-0.173450,-0.173450,0.217665,0.217665,0.000000,0.000000,0.000000,0.000000,0.000000,0.044215,-0.173450,-0.173450,0.217665,0.217665,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,44,500,1,0.100000,0.166615,-0.073087,-0.073087,0.239701,0.239701,0.000000,0.000000,0.000000,0.000000,0.000000,0.166615,-0.073087,-0.073087,0.239701,0.239701,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,45,500,1,0.100000,0.114598,-0.114356,-0.114356,0.228955,0.228955,0.000000,0.000000,0.000000,0.000000,0.000000,0.114598,-0.114356,-0.114356,0.228955,0.228955,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,46,500,1,0.100000,0.181773,-0.043363,-0.043363,0.225136,0.225136,0.000000,0.000000,0.000000,0.000000,0.000000,0.181773,-0.043363,-0.043363,0.225136,0.225136,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,47,500,1,0.100000,0.127149,-0.176566,-0.176566,0.303714,0.303714,0.000000,0.000000,0.000000,0.000000,0.000000,0.127149,-0.176566,-0.176566,0.303714,0.303714,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,48,500,1,0.100000,0.241292,-0.088261,-0.088261,0.329553,0.329553,0.000000,0.000000,0.000000,0.000000,0.000000,0.241292,-0.088261,-0.088261,0.329553,0.329553,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,49,500,1,0.100000,0.271221,0.031288,0.031288,0.239933,0.239933,0.000000,0.000000,0.000000,0.000000,0.000000,0.271221,0.031288,0.031288,0.239933,0.239933,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,50,500,1,0.100000,0.230370,-0.052830,-0.052830,0.283200,0.283200,0.000000,0.000000,0.000000,0.000000,0.000000,0.230370,-0.052830,-0.052830,0.283200,0.283200,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,51,500,1,0.100000,0.154682,-0.079549,-0.079549,0.234231,0.234231,0.000000,0.000000,0.000000,0.000000,0.000000,0.154682,-0.079549,-0.079549,0.234231,0.234231,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,52,500,1,0.100000,0.052055,-0.128070,-0.128070,0.180125,0.180125,0.000000,0.000000,0.000000,0.000000,0.000000,0.052055,-0.128070,-0.128070,0.180125,0.180125,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,53,500,1,0.100000,0.210693,-0.076807,-0.076807,0.287500,0.287500,0.000000,0.000000,0.000000,0.000000,0.000000,0.210693,-0.076807,-0.076807,0.287500,0.287500,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,54,500,1,0.100000,0.213260,-0.019569,-0.019569,0.232829,0.232829,0.000000,0.000000,0.000000,0.000000,0.000000,0.213260,-0.019569,-0.019569,0.232829,0.232829,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,55,500,1,0.100000,0.087319,-0.020756,-0.020756,0.108075,0.108075,0.000000,0.000000,0.000000,0.000000,0.000000,0.087319,-0.020756,-0.020756,0.108075,0.108075,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,56,500,1,0.100000,-0.018201,-0.230914,-0.230914,0.212714,0.212714,0.000000,0.000000,0.000000,0.000000,0.000000,-0.018201,-0.230914,-0.230914,0.212714,0.212714,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,57,500,1,0.100000,0.214097,-0.083279,-0.083279,0.297376,0.297376,0.000000,0.000000,0.000000,0.000000,0.000000,0.214097,-0.083279,-0.083279,0.297376,0.297376,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,58,500,1,0.100000,0.260187,0.123455,0.123455,0.136732,0.136732,0.000000,0.000000,0.000000,0.000000,0.000000,0.260187,0.123455,0.123455,0.136732,0.136732,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,59,500,1,0.100000,0.197979,0.028365,0.028365,0.169614,0.169614,0.000000,0.000000,0.000000,0.000000,0.000000,0.197979,0.028365,0.028365,0.169614,0.169614,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,60,500,1,0.100000,0.207795,-0.093758,-0.093758,0.301553,0.301553,0.000000,0.000000,0.000000,0.000000,0.000000,0.207795,-0.093758,-0.093758,0.301553,0.301553,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,61,500,1,0.100000,0.339614,0.250558,0.250558,0.089056,0.089056,0.000000,0.000000,0.000000,0.000000,0.000000,0.339614,0.250558,0.250558,0.089056,0.089056,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,62,500,1,0.100000,0.186945,-0.061631,-0.061631,0.248576,0.248576,0.000000,0.000000,0.000000,0.000000,0.000000,0.186945,-0.061631,-0.061631,0.248576,0.248576,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,63,500,1,0.100000,0.258277,0.141674,0.141674,0.116602,0.116602,0.000000,0.000000,0.000000,0.000000,0.000000,0.258277,0.141674,0.141674,0.116602,0.116602,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,64,500,1,0.100000,0.119228,-0.051886,-0.051886,0.171113,0.171113,0.000000,0.000000,0.000000,0.000000,0.000000,0.119228,-0.051886,-0.051886,0.171113,0.171113,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,65,500,1,0.100000,0.111175,-0.107348,-0.107348,0.218524,0.218524,0.000000,0.000000,0.000000,0.000000,0.000000,0.111175,-0.107348,-0.107348,0.218524,0.218524,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,66,500,1,0.100000,0.228604,-0.014720,-0.014720,0.243324,0.243324,0.000000,0.000000,0.000000,0.000000,0.000000,0.228604,-0.014720,-0.014720,0.243324,0.243324,,,,,,
