method,scenario_id,scenario,rep,n,eta,alpha_share,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias,converged,first_10_loss,last_10_loss,last_10_loss_sd,relative_drop,relative_sd
lsem_proxyX,1,n500_eta1_share10,83,500,1,0.100000,-0.025059,-0.025666,-0.025666,0.000607,0.000607,0.000000,0.000000,0.000000,0.000000,0.000000,-0.025059,-0.025666,-0.025666,0.000607,0.000607,,,,,,
lsem_proxyX,1,n500_eta1_share10,84,500,1,0.100000,-0.079734,-0.079688,-0.079688,-0.000046,-0.000046,0.000000,0.000000,0.000000,0.000000,0.000000,-0.079734,-0.079688,-0.079688,-0.000046,-0.000046,,,,,,
lsem_proxyX,1,n500_eta1_share10,85,500,1,0.100000,0.053038,0.052772,0.052772,0.000266,0.000266,0.000000,0.000000,0.000000,0.000000,0.000000,0.053038,0.052772,0.052772,0.000266,0.000266,,,,,,
lsem_proxyX,1,n500_eta1_share10,86,500,1,0.100000,0.007473,0.009004,0.009004,-0.001531,-0.001531,0.000000,0.000000,0.000000,0.000000,0.000000,0.007473,0.009004,0.009004,-0.001531,-0.001531,,,,,,
lsem_proxyX,1,n500_eta1_share10,87,500,1,0.100000,-0.011107,-0.008423,-0.008423,-0.002683,-0.002683,0.000000,0.000000,0.000000,0.000000,0.000000,-0.011107,-0.008423,-0.008423,-0.002683,-0.002683,,,,,,
lsem_proxyX,1,n500_eta1_share10,88,500,1,0.100000,-0.022460,-0.016357,-0.016357,-0.006103,-0.006103,0.000000,0.000000,0.000000,0.000000,0.000000,-0.022460,-0.016357,-0.016357,-0.006103,-0.006103,,,,,,
lsem_proxyX,1,n500_eta1_share10,89,500,1,0.100000,0.055703,0.062476,0.062476,-0.006773,-0.006773,0.000000,0.000000,0.000000,0.000000,0.000000,0.055703,0.062476,0.062476,-0.006773,-0.006773,,,,,,
lsem_proxyX,1,n500_eta1_share10,90,500,1,0.100000,-0.027712,-0.025820,-0.025820,-0.001892,-0.001892,0.000000,0.000000,0.000000,0.000000,0.000000,-0.027712,-0.025820,-0.025820,-0.001892,-0.001892,,,,,,
lsem_proxyX,1,n500_eta1_share10,91,500,1,0.100000,0.092032,0.095531,0.095531,-0.003500,-0.003500,0.000000,0.000000,0.000000,0.000000,0.000000,0.092032,0.095531,0.095531,-0.003500,-0.003500,,,,,,
lsem_proxyX,1,n500_eta1_share10,92,500,1,0.100000,-0.022036,-0.022500,-0.022500,0.000464,0.000464,0.000000,0.000000,0.000000,0.000000,0.000000,-0.022036,-0.022500,-0.022500,0.000464,0.000464,,,,,,
lsem_proxyX,1,n500_eta1_share10,93,500,1,0.100000,-0.021524,-0.021790,-0.021790,0.000265,0.000265,0.000000,0.000000,0.000000,0.000000,0.000000,-0.021524,-0.021790,-0.021790,0.000265,0.000265,,,,,,
lsem_proxyX,1,n500_eta1_share10,94,500,1,0.100000,-0.031939,-0.015415,-0.015415,-0.016524,-0.016524,0.000000,0.000000,0.000000,0.000000,0.000000,-0.031939,-0.015415,-0.015415,-0.016524,-0.016524,,,,,,
